GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,FileLoaderTests,0,65,0,0,0,23,0,6,0,6
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,AntiSpamGUITests,0,58,0,0,0,15,0,5,0,5
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,FrameTests,0,407,0,0,0,85,0,19,0,19
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,ExtensionsTests,0,15,0,0,0,5,0,2,0,2
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,AntiSpamFilterProblemTests,0,199,0,0,0,55,0,13,0,13
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",jUnit,AntiSpamFilterAutomaticTests,0,32,0,0,0,13,0,5,0,5
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,AntiSpamGUI.new ActionListener() {...},118,6,10,0,24,2,6,1,1,1
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,Frame.new JTable() {...},6,7,2,0,3,2,2,1,1,1
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,AntiSpamGUI.new ActionListener() {...},89,6,2,0,11,2,2,1,1,1
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,Frame,5,654,3,9,2,144,4,33,1,30
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,AntiSpamGUI,74,87,2,4,11,21,3,6,2,4
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,AntiSpamGUI.new ActionListener() {...},48,6,0,0,14,2,2,1,2,1
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,AntiSpamGUI.new ActionListener() {...},47,6,4,0,10,2,3,1,1,1
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,Frame.new Runnable() {...},0,91,0,0,0,16,0,2,0,2
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamUI,Extensions,35,28,3,1,3,4,2,2,0,2
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamFilter,AntiSpamFilterProblem,137,162,16,10,22,40,10,17,1,13
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",antiSpamFilter,AntiSpamFilterAutomaticConfiguration,147,12,2,0,27,6,3,5,2,5
"src (Dec 22, 2017 11:20:35 PM)/ES1-2017/src",fileReader,FileLoader,143,296,30,26,22,75,19,15,0,6
